time,ax,ay,az,atotal
0.000,0.02,0.02,0.01,0.03
0.010,-0.01,-0.03,-0.01,0.03
0.020,0.02,0.03,0.02,0.04
0.030,0.01,0.02,0.02,0.03
0.040,-0.00,-0.00,0.00,0.01
0.050,-0.00,0.00,0.03,0.03
0.060,-0.01,0.01,0.01,0.02
0.070,-0.00,0.01,0.01,0.01
0.080,0.01,-0.01,0.02,0.02
0.090,0.01,-0.01,0.01,0.02
0.100,0.01,-0.01,0.01,0.02
0.110,0.00,0.00,-0.00,0.00
0.120,0.01,-0.01,0.00,0.02
0.130,0.02,-0.01,-0.00,0.03
0.140,0.00,-0.02,0.01,0.02
0.150,-0.00,-0.00,0.02,0.02
0.159,-0.00,0.00,0.01,0.01
0.169,-0.00,-0.01,0.02,0.02
0.179,-0.01,-0.02,0.01,0.02
0.189,0.00,-0.01,0.01,0.01
0.199,-0.00,0.00,0.01,0.01
0.209,-0.00,-0.01,0.02,0.02
0.219,0.00,-0.01,0.00,0.01
0.229,-0.00,-0.01,0.00,0.01
0.239,0.00,0.00,0.02,0.02
0.249,0.02,-0.01,0.01,0.02
0.259,0.01,-0.00,-0.00,0.01
0.269,-0.00,-0.00,0.01,0.01
0.279,-0.01,0.01,0.01,0.01
0.289,-0.01,-0.00,0.03,0.04
0.299,-0.00,-0.00,0.02,0.02
0.309,0.01,-0.01,0.02,0.02
0.319,-0.00,-0.01,0.03,0.03
0.329,0.01,0.00,0.00,0.01
0.339,0.01,0.00,0.02,0.03
0.349,0.00,-0.01,-0.01,0.01
0.359,-0.00,0.00,0.01,0.01
0.369,0.01,-0.00,0.01,0.02
0.379,0.00,0.01,0.01,0.01
0.389,-0.00,-0.00,0.03,0.03
0.399,0.01,-0.01,0.02,0.03
0.409,0.00,-0.01,0.01,0.02
0.419,0.00,-0.01,0.00,0.01
0.429,0.01,-0.02,0.01,0.02
0.439,-0.00,-0.01,0.01,0.02
0.449,-0.01,-0.01,0.02,0.03
0.459,0.03,0.04,0.01,0.05
0.469,0.27,0.42,0.00,0.50
0.479,0.17,0.22,0.01,0.28
0.489,-0.02,-0.10,-0.00,0.11
0.498,0.17,-0.39,-0.03,0.42
0.508,0.99,-0.95,-0.02,1.38
0.518,0.92,-0.74,-0.06,1.19
0.528,0.49,-0.06,0.05,0.50
0.538,-0.14,0.19,0.01,0.23
0.548,-0.95,0.02,-0.01,0.95
0.558,-1.37,-0.09,0.51,1.46
0.568,-0.16,0.66,0.11,0.69
0.578,0.22,0.49,0.68,0.87
0.588,0.07,-0.29,0.12,0.32
0.598,0.03,-0.17,-0.57,0.60
0.608,0.17,-0.18,0.18,0.31
0.618,0.23,-0.34,0.22,0.47
0.628,0.01,0.01,-0.10,0.10
0.638,-0.18,0.07,-0.06,0.20
0.648,-0.16,0.23,1.04,1.08
0.658,-0.31,0.46,1.84,1.92
0.668,-0.21,-0.21,1.30,1.34
0.678,-0.33,-0.58,0.82,1.06
0.688,-0.38,-0.60,0.04,0.71
0.698,-0.43,-1.12,0.05,1.20
0.708,-0.72,-1.56,-0.32,1.74
0.718,-1.21,-1.24,0.24,1.74
0.728,-2.19,-1.69,0.90,2.91
0.738,-2.47,-1.62,2.05,3.59
0.748,-1.58,-0.78,2.66,3.19
0.758,-0.18,-0.20,2.70,2.71
0.768,0.94,-0.39,2.57,2.77
0.778,2.31,-0.64,2.45,3.43
0.788,2.83,-0.04,2.15,3.55
0.798,1.69,0.08,2.08,2.68
0.808,0.25,-0.44,2.54,2.59
0.817,-1.05,-0.37,2.72,2.93
0.827,-1.40,-0.29,2.86,3.20
0.837,-0.56,-0.40,2.47,2.56
0.847,0.02,-0.55,1.96,2.03
0.857,-0.02,-1.07,0.89,1.40
0.867,-0.19,-1.55,-0.31,1.59
0.877,-0.33,-0.98,-1.49,1.82
0.887,-0.55,-0.50,-2.19,2.31
0.897,-0.80,-0.68,-2.28,2.51
0.907,-0.89,-0.79,-2.15,2.46
0.917,-0.70,-0.26,-1.95,2.09
0.927,-0.69,-0.24,-1.59,1.75
0.937,-0.69,0.13,-1.37,1.54
0.947,-0.68,0.44,-0.96,1.25
0.957,-1.09,0.60,0.09,1.25
0.967,-1.25,0.42,0.85,1.57
0.977,-1.74,0.98,1.29,2.38
0.987,-1.53,0.39,1.54,2.21
0.997,-1.43,-0.33,1.81,2.33
1.007,-0.86,0.35,2.29,2.47
1.017,-0.26,0.46,1.43,1.52
1.027,-0.31,0.35,0.84,0.95
1.037,-0.29,0.12,0.60,0.68
1.047,-0.08,0.15,0.36,0.39
1.057,-0.07,0.22,-0.19,0.30
1.067,-0.18,0.20,-0.54,0.60
1.077,0.03,0.16,-0.50,0.52
1.087,0.39,0.36,-0.43,0.68
1.097,0.51,0.39,-0.37,0.74
1.107,0.68,0.40,-0.44,0.90
1.117,0.76,0.19,-0.59,0.98
1.127,0.44,-0.44,-0.73,0.96
1.136,0.30,-0.44,-1.33,1.43
1.147,0.37,-0.07,-1.99,2.02
1.156,0.58,-0.14,-2.32,2.40
1.166,0.85,-0.36,-2.30,2.47
1.176,1.42,-0.23,-2.19,2.62
1.186,3.97,0.25,-1.25,4.17
1.196,6.94,0.70,1.89,7.22
1.206,7.29,0.63,0.32,7.32
1.216,4.11,-0.34,-0.26,4.13
1.226,1.38,-0.63,-1.01,1.83
1.236,0.44,-0.03,-1.24,1.31
1.246,-0.16,0.11,-0.54,0.57
1.256,-1.12,-0.52,0.10,1.24
1.266,-3.58,-1.42,-0.24,3.86
1.276,-4.54,-2.25,-1.40,5.25
1.286,-4.34,-1.35,-2.92,5.41
1.296,-4.97,-0.32,-2.86,5.74
1.306,-4.73,-0.54,-2.15,5.22
1.316,-4.56,-0.34,-2.28,5.11
1.326,2.47,2.46,-0.71,3.56
1.336,7.68,6.49,-0.78,10.08
1.346,3.17,3.71,-1.36,5.06
1.356,-0.81,-0.20,-2.60,2.73
1.366,-0.56,-0.22,-2.45,2.52
1.376,-0.31,0.74,-0.44,0.91
1.386,-2.37,1.99,-0.65,3.16
1.396,-3.52,0.77,-0.46,3.63
1.406,-6.35,0.39,-1.46,6.53
1.416,-6.67,1.41,-2.35,7.21
1.426,-4.29,2.61,-3.03,5.86
1.436,-2.93,2.95,-3.70,5.56
1.445,-2.49,2.74,-3.11,4.83
1.455,-2.65,2.52,-2.39,4.37
1.466,-3.11,2.05,-1.63,4.07
1.475,-3.81,1.39,-0.79,4.13
1.485,-4.15,0.88,0.26,4.25
1.495,-3.36,0.55,1.39,3.67
1.505,-2.02,0.29,2.37,3.13
1.515,-1.23,-0.21,3.56,3.77
1.525,-0.58,-0.67,4.35,4.44
1.535,0.29,-0.77,4.88,4.95
1.545,0.85,-0.98,5.71,5.86
1.555,0.74,-1.17,6.29,6.45
1.565,-0.23,-1.74,6.32,6.56
1.575,-1.05,-2.12,6.71,7.12
1.585,-0.11,-2.19,7.04,7.37
1.595,1.44,-2.51,6.94,7.52
1.605,2.36,-2.93,6.65,7.64
1.615,3.48,-3.14,6.84,8.29
1.625,3.79,-3.09,6.17,7.87
1.635,3.79,-3.35,5.42,7.41
1.645,3.55,-3.64,4.42,6.74
1.655,3.58,-3.49,3.64,6.18
1.665,3.54,-3.55,3.34,6.02
1.675,3.28,-3.77,2.87,5.77
1.685,3.19,-3.59,2.63,5.48
1.695,3.09,-3.54,2.15,5.16
1.705,2.91,-3.47,1.06,4.65
1.715,2.61,-3.43,0.07,4.30
1.724,2.51,-3.24,-0.46,4.12
1.734,2.68,-2.90,-0.52,3.98
1.745,2.77,-2.67,-0.57,3.89
1.754,2.79,-2.78,-0.10,3.94
1.764,3.02,-2.74,0.55,4.11
1.774,3.31,-2.57,0.65,4.24
1.784,3.29,-2.76,0.69,4.35
1.794,3.07,-2.77,0.50,4.16
1.804,2.67,-2.70,-0.12,3.79
1.814,2.48,-2.69,-0.25,3.67
1.824,2.46,-2.61,0.21,3.59
1.834,2.48,-2.62,0.48,3.64
1.844,2.46,-2.71,0.64,3.71
1.854,2.79,-2.50,1.01,3.88
1.864,3.12,-2.33,0.58,3.94
1.874,3.67,-2.50,-0.07,4.44
1.884,4.22,-2.52,-0.12,4.92
1.894,4.25,-2.64,-0.11,5.01
1.904,4.41,-2.89,0.16,5.28
1.914,3.80,-3.39,0.67,5.14
1.924,2.74,-3.61,1.05,4.65
1.934,2.42,-2.97,1.33,4.06
1.944,1.72,-2.73,0.55,3.27
1.954,1.27,-2.95,-0.73,3.30
1.964,1.83,-2.64,-1.30,3.47
1.974,2.72,-2.42,-1.80,4.06
1.984,2.99,-2.48,-2.12,4.43
1.994,3.36,-2.82,-1.84,4.76
2.004,2.57,-2.98,-0.91,4.04
2.014,1.45,-2.85,-0.50,3.24
2.024,1.02,-2.06,-0.11,2.30
2.034,0.66,-1.41,-0.10,1.57
2.044,0.76,-1.45,-0.90,1.87
2.053,1.31,-1.56,-1.49,2.52
2.064,1.88,-1.79,-1.47,2.99
2.073,1.50,-2.39,-0.90,2.96
2.083,1.53,-2.81,-0.09,3.20
2.093,1.61,-2.47,1.22,3.19
2.103,1.02,-2.18,1.91,3.07
2.113,-0.15,-1.98,2.09,2.88
2.123,-0.78,-0.81,1.89,2.20
2.133,-0.91,0.18,1.46,1.73
2.143,-1.39,0.31,0.45,1.49
2.153,-1.30,0.32,-0.35,1.38
2.163,-0.98,0.22,-0.72,1.23
2.173,-0.47,0.11,-0.59,0.76
2.183,0.08,-0.32,0.80,0.87
2.193,-0.00,-0.55,2.11,2.18
2.203,-0.40,-0.14,3.21,3.23
2.213,-0.71,0.50,4.03,4.12
2.223,-1.26,0.76,3.47,3.77
2.233,-1.98,0.70,2.06,2.94
2.243,-2.14,0.77,0.38,2.30
2.253,-2.02,0.90,-1.20,2.52
2.263,-2.35,0.84,-1.57,2.94
2.273,-2.37,0.82,-1.32,2.83
2.283,-1.97,0.60,-0.19,2.07
2.293,-2.49,0.04,0.45,2.53
2.303,-2.47,0.41,0.63,2.59
2.313,-2.64,0.34,0.74,2.76
