time,wx,wy,wz
0.003,0.10,-0.02,0.00
0.026,0.16,-0.14,-0.06
0.044,0.02,-0.06,0.02
0.063,0.05,-0.07,0.06
0.075,0.15,-0.05,0.19
0.092,0.08,-0.02,0.08
0.110,0.03,-0.01,0.03
0.128,0.07,0.00,0.07
0.146,0.08,-0.02,0.04
0.158,0.05,-0.03,-0.02
0.175,0.02,-0.03,-0.00
0.193,-0.01,-0.01,0.03
0.218,-0.03,-0.01,0.01
0.224,-0.01,-0.01,-0.03
0.242,0.01,0.02,-0.01
0.260,0.00,0.03,0.01
0.279,-0.01,0.01,0.03
0.291,0.01,-0.03,0.03
0.309,0.03,-0.05,0.03
0.327,0.04,-0.06,0.04
0.346,0.03,-0.04,0.03
0.363,0.02,-0.01,0.00
0.384,0.01,0.04,-0.01
0.402,-0.02,0.05,-0.02
0.421,-0.03,0.05,-0.02
0.438,-0.04,0.05,-0.02
0.457,-0.04,0.05,-0.00
0.474,-0.05,0.02,0.03
0.493,-0.03,0.03,0.06
0.510,0.08,-0.31,0.15
0.528,0.40,-0.73,0.26
0.546,0.82,-1.10,0.48
0.563,1.05,-1.61,0.78
0.581,1.16,-2.26,1.11
0.598,1.31,-2.99,1.66
0.626,2.03,-3.23,2.28
0.643,2.59,-3.54,2.61
0.660,3.23,-3.83,2.60
0.677,3.82,-3.92,2.36
0.694,4.23,-4.23,2.56
0.711,4.49,-4.50,2.78
0.728,4.75,-4.51,2.70
0.745,4.76,-4.72,2.38
0.762,4.58,-4.59,1.58
0.778,4.49,-4.43,1.12
0.795,4.60,-4.39,1.41
0.808,4.71,-4.55,1.98
0.825,4.76,-5.05,1.80
0.843,4.81,-5.42,1.01
0.860,4.61,-5.55,0.34
0.877,4.06,-5.44,-0.05
0.894,3.48,-5.20,-0.23
0.910,3.23,-4.64,-0.25
0.927,3.20,-3.98,-0.29
0.944,3.22,-3.35,-0.65
0.961,2.97,-2.96,-1.14
0.978,2.52,-2.84,-1.45
0.995,2.12,-3.18,-1.67
1.012,1.80,-3.71,-2.20
1.028,1.70,-3.56,-2.45
1.058,1.38,-3.30,-2.47
1.075,0.83,-3.14,-2.54
1.092,0.31,-3.02,-2.87
1.125,0.24,-2.97,-2.82
1.142,-0.94,-3.28,-2.28
1.159,-1.31,-3.58,-1.74
1.177,-1.23,-3.68,-1.34
1.194,-1.19,-3.61,-1.39
1.211,-1.50,-3.46,-1.19
1.228,-2.20,-3.45,-0.69
1.245,-2.80,-3.69,-0.28
1.268,-2.78,-3.99,0.06
1.286,-1.45,-4.17,0.43
1.308,-0.95,-4.11,0.62
1.325,-1.01,-4.02,0.93
1.343,-1.46,-3.96,1.37
1.360,-1.50,-3.88,1.70
1.377,-0.85,-3.66,1.96
1.394,-0.14,-3.61,2.30
1.412,0.02,-3.69,2.46
1.428,-0.46,-3.75,2.48
1.446,-0.81,-3.60,2.57
1.458,-0.60,-3.24,3.09
1.475,-0.10,-2.92,3.82
1.492,0.60,-2.55,4.40
1.510,1.16,-1.91,4.22
1.527,1.32,-1.33,3.65
1.544,1.55,-0.94,3.14
1.561,1.97,-0.85,2.77
1.578,2.54,-0.74,2.57
1.595,3.76,-0.19,1.91
1.612,3.82,0.38,1.33
1.641,3.17,0.73,0.76
1.659,2.63,1.06,0.46
1.675,3.84,1.44,0.47
1.708,4.75,1.51,0.03
1.725,4.66,1.92,-0.62
1.743,3.96,2.04,-1.18
1.760,3.44,2.12,-1.43
1.777,3.33,2.48,-1.63
1.793,3.68,3.08,-1.73
1.811,3.77,3.66,-1.86
1.828,3.05,3.33,-1.96
1.845,1.90,2.48,-2.32
1.861,0.73,1.07,-2.37
1.878,-0.12,0.02,-2.24
1.895,-0.53,-0.38,-2.08
1.911,-0.60,-0.07,-1.61
1.928,-0.83,0.43,-1.31
1.945,-1.14,0.72,-1.11
1.961,-1.49,0.30,-0.77
1.978,-1.62,-0.81,-0.64
1.995,-1.32,-1.42,-0.67
2.011,-1.02,-1.24,-0.50
2.028,-0.93,-0.52,-0.12
2.045,-0.94,0.05,0.15
2.062,-0.74,0.21,0.27
2.078,-0.42,-0.03,0.25
2.091,-0.21,-0.48,0.14
2.109,-0.19,-0.65,0.02
2.126,-0.30,-0.47,-0.12
2.143,-0.44,-0.21,-0.11
2.160,-0.46,-0.24,-0.03
2.177,-0.40,-0.61,-0.09
2.194,-0.55,-1.32,-0.14
2.225,-0.70,-1.35,-0.07
2.242,-0.87,-1.31,-0.07
2.259,-0.76,-1.49,-0.24
2.291,-0.66,-1.69,-0.10
2.309,-0.54,-2.39,-0.15
2.333,-0.43,-2.45,-0.09
2.359,-0.35,-2.36,0.68
2.376,-0.22,-2.28,0.93
2.394,-0.14,-2.27,1.21
2.411,-0.15,-2.32,1.52
2.427,-0.16,-2.36,1.77
2.444,-0.05,-2.30,1.98
2.461,0.11,-2.24,2.19
2.478,0.34,-2.25,2.23
2.494,0.58,-2.17,2.14
2.511,0.75,-1.96,2.14
2.528,0.92,-1.74,2.19
2.544,1.21,-1.60,2.11
2.562,1.52,-1.39,2.03
2.578,1.71,-1.03,1.96
2.595,1.75,-0.61,1.91
2.612,1.76,-0.25,1.74
2.629,1.77,0.03,1.50
2.646,1.91,0.18,1.43
2.663,2.19,0.14,1.24
2.680,2.54,0.10,0.81
2.698,2.51,0.81,0.32
2.715,2.20,1.47,0.36
2.733,1.94,1.91,0.36
2.749,1.85,1.93,0.26
2.766,1.83,1.65,0.11
2.783,1.64,1.45,-0.03
2.800,1.23,1.50,-0.02
2.818,0.66,1.58,0.15
2.835,0.18,1.48,0.21
2.852,0.03,1.30,0.18
2.869,0.04,1.08,0.10
2.886,-0.02,0.76,-0.02
2.903,-0.05,0.48,-0.24
2.920,-0.08,0.23,-0.35
2.937,-0.08,0.06,-0.38
2.954,-0.13,-0.15,-0.41
2.970,-0.37,-0.39,-0.33
2.991,-0.51,-0.40,-0.31
3.008,-0.59,-0.46,-0.24
3.025,-0.58,-0.59,-0.18
3.042,-0.40,-0.72,-0.11
3.059,-0.11,-0.75,-0.01
3.076,0.13,-0.68,0.20
3.093,0.32,-0.60,0.41
3.110,0.44,-0.56,0.47
3.126,0.54,-0.48,0.51
3.143,0.58,-0.28,0.46
3.159,0.40,-0.06,0.45
3.176,0.25,0.09,0.41
3.193,0.03,0.23,0.33
3.210,-0.19,0.34,0.43
3.226,-0.17,0.37,0.57
3.243,0.02,0.38,0.49
3.259,0.16,0.37,0.36
3.276,0.13,0.24,0.31
3.293,0.25,0.08,0.19
3.310,0.41,-0.03,0.06
3.326,0.50,-0.03,-0.00
3.343,0.50,0.06,0.01
3.359,0.33,0.12,-0.09
3.391,0.21,0.09,-0.13
3.409,0.04,-0.10,-0.14
3.426,-0.01,-0.16,-0.13
3.458,-0.08,-0.18,-0.11
3.475,-0.35,-0.33,-0.26
3.493,-0.48,-0.44,-0.40
3.510,-0.52,-0.55,-0.54
3.527,-0.48,-0.71,-0.55
3.544,-0.40,-0.71,-0.56
3.561,-0.49,-0.71,-0.57
3.578,-0.67,-0.75,-0.61
3.594,-0.81,-0.85,-0.59
