time,Bx,By,Bz,Btotal
0.000,66.57,61.16,-4.52,90.51
0.010,66.47,61.24,-4.73,90.51
0.020,66.59,61.22,-4.51,90.56
0.030,66.75,61.25,-4.93,90.72
0.040,66.69,61.09,-4.46,90.55
0.050,66.63,61.16,-4.20,90.54
0.060,66.65,61.35,-4.51,90.70
0.070,66.60,61.27,-4.51,90.61
0.080,66.54,61.28,-4.89,90.59
0.090,66.47,61.31,-4.29,90.53
0.100,66.57,61.26,-4.15,90.57
0.110,66.45,61.33,-4.71,90.55
0.120,66.42,61.25,-4.33,90.45
0.129,66.58,61.22,-4.84,90.58
0.140,66.35,61.32,-4.29,90.45
0.149,66.41,61.38,-3.99,90.52
0.159,66.52,61.26,-4.72,90.55
0.169,66.48,61.29,-4.56,90.53
0.179,66.51,61.22,-5.03,90.53
0.189,66.53,61.24,-4.66,90.55
0.199,66.41,61.12,-4.22,90.36
0.209,66.42,61.26,-4.84,90.49
0.219,66.47,61.22,-4.30,90.47
0.229,66.39,61.19,-4.77,90.41
0.239,66.24,61.23,-4.32,90.31
0.249,66.43,61.12,-4.21,90.37
0.259,66.45,61.21,-4.41,90.46
0.269,66.48,61.16,-4.03,90.43
0.279,66.35,61.25,-4.73,90.42
0.289,66.42,61.18,-4.33,90.41
0.299,66.43,61.30,-4.15,90.49
0.309,66.37,61.39,-4.46,90.52
0.319,66.22,61.34,-4.12,90.36
0.329,66.26,61.32,-4.88,90.41
0.339,66.16,61.35,-4.25,90.33
0.349,66.38,61.32,-4.17,90.46
0.359,66.38,61.26,-4.50,90.44
0.369,66.44,61.29,-4.27,90.49
0.379,66.44,61.23,-4.77,90.48
0.389,66.50,61.32,-4.07,90.54
0.399,66.53,61.26,-3.81,90.52
0.409,66.49,61.39,-4.29,90.60
0.419,66.48,61.22,-4.14,90.47
0.429,66.51,61.37,-4.64,90.62
0.439,66.50,61.34,-4.07,90.56
0.448,66.60,61.22,-4.05,90.55
0.459,66.35,61.37,-4.41,90.49
0.468,66.48,61.35,-4.14,90.56
0.479,66.59,61.29,-4.91,90.64
0.488,66.41,61.33,-4.37,90.50
0.498,66.30,61.40,-4.17,90.45
0.508,66.32,61.52,-4.49,90.57
0.518,66.45,61.36,-4.35,90.55
0.528,66.52,61.26,-4.88,90.56
0.538,66.44,61.38,-4.47,90.57
0.548,66.35,61.37,-3.90,90.46
0.558,66.35,61.35,-4.31,90.47
0.568,66.37,61.35,-4.27,90.48
0.578,66.46,61.27,-4.54,90.51
0.588,66.46,61.27,-4.54,90.51
0.598,66.51,61.45,-4.38,90.66
0.608,66.47,61.41,-4.06,90.59
0.618,66.57,61.34,-4.59,90.64
0.628,66.61,61.24,-4.33,90.59
0.638,66.70,61.24,-4.77,90.68
0.648,66.45,61.42,-4.59,90.61
0.658,66.45,61.32,-4.25,90.52
0.668,66.32,61.30,-4.62,90.43
0.678,66.35,61.30,-4.28,90.44
0.688,66.43,61.24,-4.76,90.47
0.698,66.46,61.29,-4.61,90.53
0.708,66.52,61.20,-4.18,90.49
0.718,66.47,61.21,-4.57,90.47
0.727,66.45,61.19,-4.31,90.44
0.738,66.41,61.28,-4.72,90.49
0.748,66.45,61.24,-4.87,90.50
0.758,66.56,61.18,-4.39,90.51
0.767,66.51,61.33,-4.37,90.57
0.777,66.45,61.29,-4.01,90.49
0.787,66.59,61.28,-4.62,90.62
0.797,66.45,61.33,-4.55,90.54
0.807,66.38,61.14,-4.37,90.35
0.817,66.53,61.25,-4.68,90.56
0.827,66.49,61.36,-4.25,90.58
0.837,66.57,61.23,-4.46,90.55
0.847,66.34,61.24,-4.75,90.41
0.857,66.42,61.18,-4.36,90.41
0.867,66.48,61.18,-4.61,90.47
0.877,66.44,61.11,-4.28,90.37
0.887,66.63,61.18,-4.65,90.58
0.897,66.39,61.19,-4.68,90.41
0.907,66.41,61.12,-4.17,90.35
0.917,66.43,61.08,-4.56,90.36
0.927,66.45,61.16,-4.08,90.41
0.937,66.47,61.10,-4.50,90.40
0.947,66.21,61.20,-4.67,90.29
0.958,66.22,61.21,-4.24,90.28
0.967,66.27,61.24,-4.66,90.35
0.977,66.21,61.07,-4.36,90.18
0.987,66.45,61.03,-4.53,90.34
0.997,66.41,61.10,-4.82,90.37
1.007,66.42,61.06,-4.41,90.33
1.017,66.25,61.13,-4.66,90.26
1.027,66.27,61.07,-4.57,90.24
1.037,66.26,61.21,-4.64,90.32
1.046,66.27,61.14,-4.69,90.29
1.057,66.48,61.11,-4.48,90.41
1.066,66.47,61.07,-4.74,90.39
1.077,66.40,61.09,-4.26,90.32
1.086,66.44,61.17,-4.45,90.42
1.096,66.32,61.15,-4.79,90.34
1.106,66.36,61.08,-4.52,90.30
1.116,66.34,61.06,-4.82,90.30
1.126,66.31,61.01,-4.15,90.20
1.136,66.35,61.19,-4.33,90.36
1.146,66.46,61.24,-4.55,90.49
1.156,66.46,61.15,-4.24,90.41
1.166,66.47,61.19,-4.66,90.47
1.176,66.44,61.10,-4.28,90.37
1.186,66.42,61.11,-4.41,90.36
1.196,66.31,61.08,-4.59,90.27
1.206,66.37,60.90,-4.49,90.19
1.216,66.56,60.87,-4.82,90.32
1.226,66.46,61.01,-4.28,90.31
1.236,66.43,61.01,-4.39,90.30
1.246,66.58,61.04,-4.66,90.45
1.256,66.48,61.03,-4.48,90.35
1.266,66.50,61.09,-4.68,90.43
1.276,66.40,61.04,-4.39,90.30
1.286,66.31,61.10,-4.30,90.27
1.296,66.34,61.07,-4.51,90.28
1.306,66.22,61.02,-4.34,90.15
1.316,66.38,61.07,-4.91,90.33
1.326,66.48,61.05,-4.31,90.36
1.336,66.53,60.97,-4.34,90.35
1.346,66.53,60.98,-4.84,90.38
1.356,66.51,60.94,-4.57,90.32
1.365,66.63,60.88,-4.93,90.39
1.376,66.42,61.07,-4.32,90.33
1.385,66.39,61.06,-4.39,90.31
1.395,66.41,61.05,-4.82,90.34
1.405,66.48,60.98,-4.48,90.32
1.415,66.47,61.01,-4.72,90.35
1.425,66.39,61.10,-4.44,90.33
1.435,66.37,61.04,-4.19,90.27
1.445,66.44,61.17,-4.59,90.43
1.455,66.48,61.14,-4.17,90.42
1.465,66.43,61.05,-4.72,90.34
1.475,66.51,61.05,-4.30,90.39
1.485,66.43,61.05,-4.13,90.32
1.495,66.50,61.17,-4.74,90.48
