time,ax,ay,az,wx,wy,wz,Bx(µT),By(µT),Bz(µT),latitude,longitude,altitude,speed
2026-04-23T14:55:38.537Z,0.4437,-0.3944,0.2547,-0.3368,-0.4596,0.4852,-10.6353,-0.7186,-49.5571,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.547Z,0.1150,-0.1939,-0.1644,0.6855,0.4018,0.2483,-10.4979,-0.9279,-49.6145,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.557Z,-0.1810,-0.0457,-0.2063,0.8093,0.5013,0.1580,-10.2580,-1.3302,-49.7859,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.567Z,-0.6123,0.4614,-0.5729,0.8632,0.5176,0.0806,-10.0310,-1.6523,-49.6456,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.577Z,-1.3148,0.8798,-0.9035,0.8707,0.4918,0.1155,-9.8248,-2.0682,-49.6431,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.588Z,-1.8451,1.1497,-1.1924,0.7968,0.4197,0.3013,-9.4854,-2.5091,-49.5934,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.597Z,-2.0417,1.6355,-1.3789,0.6650,0.3778,0.5555,-9.3859,-2.7686,-49.7178,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.607Z,-2.2401,1.8381,-1.7203,0.4779,0.3201,0.8029,-9.0605,-3.0659,-49.8597,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.617Z,-2.2684,1.7802,-1.7550,0.2577,0.2428,0.9623,-8.9969,-3.1186,-49.8718,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.627Z,-2.1470,1.6802,-1.6977,0.0694,0.1649,1.0273,-8.9022,-3.2309,-49.6099,40.01019008319858,-105.24392672437693,1604.0424,0.4565
2026-04-23T14:55:38.640Z,-2.1327,1.5174,-1.4357,-0.1811,0.1957,1.0765,-8.8378,-3.1579,-49.8273,40.01019008319858,-105.24392672437693,1604.0424,0.4565
